Human Gene	Mouse Gene	Cell type	Source	Assay	Annotated Species	Added by
HES5	Hes5	"Radial glia, neuronal progenitor"	Preissel...Ren (2018) Nature Neuroscience	snATAC-seq	Mouse	Jill
NEUROD6	Neurod6	Excitatory neuron	Preissel...Ren (2018) Nature Neuroscience	snATAC-seq	Mouse	Jill
DLX5	Dlx5	"Inhibitory, GABAergic neuron"	Preissel...Ren (2018) Nature Neuroscience	snATAC-seq	Mouse	Jill
APOE	Apoe	Astrocyte	Preissel...Ren (2018) Nature Neuroscience	snATAC-seq	Mouse	Jill
GATA1	Gata1	EMP	Preissel...Ren (2018) Nature Neuroscience	snATAC-seq	Mouse	Jill
C1QB	C1qb	Microglia	Preissel...Ren (2018) Nature Neuroscience	snATAC-seq	Mouse	Jill
GAD1	Gad1	"Inhibitory, GABAergic neuron"	Preissel...Ren (2018) Nature Neuroscience	snATAC-seq	Mouse	Jill
MOG	Mog	Oligodendrocyte	Preissel...Ren (2018) Nature Neuroscience	snATAC-seq	Mouse	Jill
SLC17A7	Slc17a7	Excitatory neuron	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
SATB2	Satb2	Excitatory neuron	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
GRM4	Grm4	Granule cell	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
GAD1	Gad1	Inhibitory neuron	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
RYR1	Ryr1	Purkinje neuron	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
FLT1	Flt1	Endothelial	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
DUSP1	Dusp1	Endothelial	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
COBLL1	Cobll1	"Endothelial, Pericyte"	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
PDGFRB	Pdgfrb	Pericyte	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
SLC1A2	Slc1a2	Astrocyte	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
SLC4A4	Slc4a4	Astrocyte	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
MOBP	Mobp	Oligodendrocyte	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
PCDH15	Pcdh15	Oligodendrocyte precursor	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
APBB1IP	Apbb1ip	Microglia	Lake...Zhang (2018) Nature Biotech	snRNA-seq	Human	Jill
AQP4	Aqp4	Astrocyte	Welch...Macosko (2019) Cell	snRNA-seq	Mouse	Jill
MGP	Mgp	Fibroblast	Welch...Macosko (2019) Cell	snRNA-seq	Mouse	Jill
PLXDC1	Plxdc1	Mural cells	Welch...Macosko (2019) Cell	snRNA-seq	Mouse	Jill
---	Igam2	Endothelial	Welch...Macosko (2019) Cell	snRNA-seq	Mouse	Jill
P2RY12	P2ry12	Microglia	Welch...Macosko (2019) Cell	snRNA-seq	Mouse	Jill
TH	Th	Neuron	Welch...Macosko (2019) Cell	snRNA-seq	Mouse	Jill
SYT1	Syt1	Neuron	Welch...Macosko (2019) Cell	snRNA-seq	Mouse	Jill
GAD1	Gad1	Neuron	Welch...Macosko (2019) Cell	snRNA-seq	Mouse	Jill
MOBP	Mobp	Oligodendrocyte	Welch...Macosko (2019) Cell	snRNA-seq	Mouse	Jill
OLIG1	Olig1	Oligodendrocyte precursor	Welch...Macosko (2019) Cell	snRNA-seq	Mouse	Jill
NES	Nes	Neuroepithelial cell	Abcam	Nestin		
SOX2	Sox2	Neuroepithelial cell	Abcam	SOX2		
NOTCH1	Notch1	Neuroepithelial cell	Abcam	Notch1		
HES1	Hes1	Neuroepithelial cell	Abcam	HES1		
OCLN	Ocln	Neuroepithelial cell	Abcam	Occludin		
CDH1	Cdh1	Neuroepithelial cell	Abcam	E-cadherin		
SOX10	Sox10	Neuroepithelial cell	Abcam	SOX10		
SOX10	Sox10	Schwann cell precursor	Abcam	SOX10		
GAP43	Gap43	Schwann cell precursor	Abcam	GAP43		
FABP7	Fabp7	Schwann cell precursor	Abcam	BLBP		
MPZ	Mpz	Schwann cell precursor	Abcam	MPZ		
DHH	Dhh	Schwann cell precursor	Abcam	Dhh		
NGFR	Ngfr	Schwann cell precursor	Abcam	P75NTR		
SOX10	Sox10	Myelinating Schwann cell	Abcam	SOX10		
---	---	Myelinating Schwann cell	Abcam	S100		
EGR2	Egr2	Myelinating Schwann cell	Abcam	EGR2		
MBP	Mbp	Myelinating Schwann cell	Abcam	MBP		
MPZ	Mpz	Myelinating Schwann cell	Abcam	MPZ		
SOX10	Sox10	Non myelinating Schwann cell	Abcam	SOX10		
---	---	Non myelinating Schwann cell	Abcam	S100		
GAP43	Gap43	Non myelinating Schwann cell	Abcam	GAP43		
NCAM1	Ncam1	Non myelinating Schwann cell	Abcam	NCAM		
NGFR	Ngfr	Non myelinating Schwann cell	Abcam	P75NTR		
VIM	Vim	Radial glia	Abcam	Vimentin		
PAX6	Pax6	Radial glia	Abcam	PAX6		
HES1	Hes1	Radial glia	Abcam	HES1		
HES5	Hes5	Radial glia	Abcam	HES5		
GFAP	Gfap	Radial glia	Abcam	GFAP		
SLC1A3	Slc1a3	Radial glia	Abcam	GLAST		
FABP7	Fabp7	Radial glia	Abcam	BLBP		
TNC	Tnc	Radial glia	Abcam	TN-C		
CDH2	Cdh2	Radial glia	Abcam	N-cadherin		
NES	Nes	Radial glia	Abcam	Nestin		
SOX2	Sox2	Radial glia	Abcam	SOX2		
PDGFRA	Pdgfra	Oligodendrocyte precursor cell	Abcam	PDGFRA		
CSPG4	Cspg4	Oligodendrocyte precursor cell	Abcam	NG2		
OLIG1	Olig1	Oligodendrocyte	Abcam	OLIG1		
OLIG2	Olig2	Oligodendrocyte	Abcam	OLIG2		
OLIG3	Olig3	Oligodendrocyte	Abcam	OLIG3		
CLDN11	Cldn11	Oligodendrocyte	Abcam	OSP		
MBP	Mbp	Oligodendrocyte	Abcam	MBP		
MOG	Mog	Oligodendrocyte	Abcam	MOG		
SOX10	Sox10	Oligodendrocyte	Abcam	SOX10		
GFAP	Gfap	Astrocyte	Abcam	GFAP		
SLC1A3	Slc1a3	Astrocyte	Abcam	GLAST		
SLC1A2	Slc1a2	Astrocyte	Abcam	GLT-1		
GLUL	Glul	Astrocyte	Abcam	Glutamine synthetase		
S100B	S100b	Astrocyte	Abcam	S100 beta		
ALDH1L1	Aldh1l1	Astrocyte	Abcam	ALDH1L1		
TMEM119	Tmem119	Microglia	Abcam	TMEM119		
ITGAM	Itgam	Microglia	Abcam	CD11b		
PTPRC	Ptprc	Microglia	Abcam	CD45		
AIF1	Aif1	Microglia	Abcam	Iba1		
CX3CR1	Cx3cr1	Microglia	Abcam	CX3CR1		
F5	F5	Microglia	Abcam	F5/80		
CD68	Cd68	Microglia	Abcam	CD68		
CD40	Cd40	Microglia	Abcam	CD40		
TBR2	---	Intermediate progenitor	Abcam	TBR2		
ASCL1	Ascl1	Intermediate progenitor	Abcam	MASH1/Ascl1		
NEUROD1	Neurod1	Immature neuron	Abcam	NeuroD1		
TBR1	Tbr1	Immature neuron	Abcam	TBR1		
TUBB3	Tubb3	Immature neuron	Abcam	Beta III Tubulin		
STMN1	Stmn1	Immature neuron	Abcam	Stathmin 1		
RBFOX3	Rbfox3	Mature Neuron	Abcam	NeuN		
MAP1	---	Mature Neuron	Abcam	MAP1		
DLG4	Dlg4	Mature Neuron	Abcam	PSD95		
SLC17A7	Slc17a7	Glutamatergic neuron	Abcam	VGLUT1		
SLC17A6	Slc17a6	Glutamatergic neuron	Abcam	VGLUT2		
GRIN1	Grin1	Glutamatergic neuron	Abcam	NMDAR1		
GRIN2B	Grin2b	Glutamatergic neuron	Abcam	NMDAR2B		
SLC6A1	Slc6a1	GABAergic neuron	Abcam	GAT1		
GAD2	Gad2	GABAergic neuron	Abcam	GAD65		
GAD1	Gad1	GABAergic neuron	Abcam	GAD67		
GAD1	Gad1	GABAergic neuron	Abcam	GAD67		
SLC6A3	Slc6a3	Dopaminergic neuron	Abcam	DAT		
FOXA2	Foxa2	Dopaminergic neuron	Abcam	FOXA2		
KCNJ6	Kcnj6	Dopaminergic neuron	Abcam	GIRK2		
NURR1	---	Dopaminergic neuron	Abcam	Nurrl		
LMX1B	Lmx1b	Dopaminergic neuron	Abcam	LMX1B		
TPH1	Tph1	Serotonergic neuron	Abcam	TPH		
SLC6A4	Slc6a4	Serotonergic neuron	Abcam	SERT		
FEV	Fev	Serotonergic neuron	Abcam	Pet1		
CHAT	Chat	Cholinergic neuron	Abcam	ChAT		
SLC18A3	Slc18a3	Cholinergic neuron	Abcam	VAChT		
ACHE	Ache	Cholinergic neuron	Abcam	ACHE		
